,stationid,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,extra_weather_text,uvindex,isday,updatedon,lat,lon
5825,11433222,-4,-6.99,9.0,210.0,982.1,0.0,54.0,10.0,25.0,1003.0,Partly cloudy,2.0,1.0,2022-02-05 15:00,62.5499992370605,12.3199996948242
5826,11433555,-25,-29.3,4.3,279.2,1028.6,0.0,100.0,0.0,100.0,1147.0,Freezing fog,1.0,0.0,2022-02-05 15:00,50.4500007629395,121.699996948242
5827,11433888,-10.6,-16.1,10.4,253.5,1018.6,0.0,51.5,10.0,5.2,1000.0,Clear,1.0,0.0,2022-02-05 15:00,40.8699989318848,45.1500015258789
5828,11434221,-16.1,-19.0,4.0,214.8,1038.5,0.0,95.3,2.0,86.3,1030.0,Mist,1.0,0.0,2022-02-05 15:00,51.0200004577637,107.830001831055
5829,11434554,-18.1,-23.6,7.2,266.6,1040.2,0.0,92.1,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,50.5200004577637,104.830001831055
5830,11434887,27.2,29.3,8.3,34.8,1012.7,0.3,67.7,9.0,72.0,1063.0,Patchy rain possible,6.0,1.0,2022-02-05 15:00,-16.2099990844727,-44.4300003051758
5831,11435220,20.8,20.8,3.6,29.8,1013.8,0.0,91.5,10.0,79.7,1006.0,Cloudy,5.0,1.0,2022-02-05 15:00,-19.8099994659424,-43.1699981689453
5832,11435553,1.9,0.4,5.4,98.4,1030.1,0.0,89.6,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,27.4699993133545,119.480003356934
5833,11435886,24.9,24.1,11.9,44.6,1010.7,0.0,23.4,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,14.2299995422363,76.4000015258789
5834,11436219,20,20.0,1.4,292.0,1011.3,0.9,95.2,10.0,89.0,1240.0,Light rain shower,1.0,0.0,2022-02-05 15:00,-7.36999988555908,109.900001525879
5835,11436552,3.9,1.09,6.1,110.0,1027.4,0.0,86.0,11.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,39.810001373291,-121.580001831055
5836,11436885,-4.6,-10.95,20.2,310.0,1031.8,0.2,48.0,16.0,50.0,1003.0,Partly cloudy,1.0,1.0,2022-02-05 15:00,39.4000015258789,-79.379997253418
5837,11437218,2,-1.35,6.1,340.0,1028.4,0.0,47.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,35.6100006103516,-82.3199996948242
5838,11437551,-1.1,-5.11,6.8,180.0,1027.8,0.0,85.0,11.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,47.4700012207031,-117.589996337891
5839,11437884,6,3.99,19.1,250.0,1023.0,0.0,56.0,10.0,25.0,1003.0,Partly cloudy,2.0,1.0,2022-02-05 15:00,48.25,9.02000045776367
5840,11438217,-0.8,-2.7,5.4,252.1,1016.9,2.6,97.1,2.0,80.4,1225.0,Heavy snow,1.0,1.0,2022-02-05 15:00,48.2700004577637,24.3700008392334
5841,11438550,-9.4,-11.54,9.0,340.0,1034.5,0.0,80.0,11.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,43.7299995422363,-116.629997253418
5842,11438883,25,26.74,0.0,263.9,1017.9,1.3,69.0,10.0,75.0,1009.0,Overcast,5.0,1.0,2022-02-05 15:00,-15.8500003814697,-48.9700012207031
5843,11439216,24,26.15,16.9,340.0,1011.9,0.8,94.0,9.0,50.0,1276.0,Moderate or heavy rain with thunder,6.0,1.0,2022-02-05 15:00,-23.3099994659424,-51.3699989318848
5844,11439549,8,6.03,20.2,340.0,1026.1,0.0,57.0,10.0,0.0,1000.0,Sunny,3.0,1.0,2022-02-05 15:00,45.9300003051758,4.38000011444092
5845,11439882,-25.2,-32.1,7.6,332.2,1032.7,0.0,99.7,0.0,100.0,1147.0,Freezing fog,1.0,0.0,2022-02-05 15:00,56.6699981689453,124.660003662109
5846,11440215,-17.4,-21.1,4.7,47.3,1009.8,0.0,92.7,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,62.7000007629395,-143.979995727539
5847,11440548,28,33.42,24.1,300.0,1010.2,1.8,74.0,10.0,50.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-23.4200000762939,-51.4199981689453
5848,11440881,6.2,6.03,11.2,270.0,1032.8,0.0,83.0,2.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,49.3699989318848,-123.199996948242
5849,11441214,19.9,19.9,10.1,191.3,1018.4,0.0,20.3,10.0,54.8,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,30.3199996948242,-5.86999988555908
5850,11441547,-4.1,-11.16,25.9,210.0,1023.7,0.0,59.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,36.6199989318848,-100.519996643066
5851,11441880,16.3,16.3,5.0,334.5,1020.0,0.0,34.1,10.0,13.3,1000.0,Sunny,5.0,1.0,2022-02-05 15:00,35.8899993896484,2.75
5852,11442213,3.1,1.6,5.8,43.6,1020.2,0.0,92.8,10.0,53.1,1003.0,Partly cloudy,2.0,1.0,2022-02-05 15:00,43.8300018310547,17.0200004577637
5853,11442546,-4.7,-9.65,9.0,200.0,1031.2,0.0,78.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,32.439998626709,-100.540000915527
5854,11442879,4.8,3.6,5.8,75.3,1023.5,0.0,83.6,10.0,72.8,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,26.5,107.580001831055
5855,11443212,25,25.69,15.1,340.0,1019.3,0.0,61.0,10.0,0.0,1000.0,Sunny,7.0,1.0,2022-02-05 15:00,13.8699998855591,-88.629997253418
5856,11443545,14,12.98,6.8,230.0,1017.9,0.0,72.0,10.0,0.0,1000.0,Sunny,3.0,1.0,2022-02-05 15:00,40.3199996948242,9.35000038146973
5857,11443878,0.7,-3.1,12.6,139.5,1011.8,0.0,43.4,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,42.8499984741211,74.0999984741211
5858,11444211,0,-5.8,9.0,350.0,1029.8,0.0,43.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,36.6599998474121,-80.9199981689453
5859,11444544,25,26.13,15.1,340.0,1019.3,0.0,61.0,10.0,0.0,1000.0,Sunny,6.0,1.0,2022-02-05 15:00,13.9799995422363,-89.5699996948242
5860,11444877,-2.8,-6.0,0.0,237.6,1022.4,0.0,85.0,0.4,60.0,1147.0,Freezing fog,1.0,0.0,2022-02-05 15:00,47.5999984741211,-115.370002746582
5861,11445210,-8,-15.43,16.9,310.0,1027.1,0.1,73.0,1.6,60.0,1213.0,Light snow,1.0,1.0,2022-02-05 15:00,37.9199981689453,-80.6500015258789
5862,11445543,24.2,25.9,3.6,317.3,1014.4,0.0,74.2,10.0,33.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-6.05000019073486,-76.9700012207031
5863,11445876,-7.2,-8.82,0.0,0.0,1031.5,0.0,80.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,43.8899993896484,-116.519996643066
5864,11446209,23,25.03,0.0,318.7,1017.9,0.7,89.0,6.0,100.0,1009.0,Overcast,5.0,1.0,2022-02-05 15:00,-19.8899993896484,-43.810001373291
5865,11446542,-4.1,-10.9,11.2,10.0,1008.9,0.0,86.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,53.2999992370605,-113.580001831055
5866,11446875,20,20.0,0.0,0.0,1021.7,0.0,64.0,13.0,0.0,1000.0,Sunny,5.0,1.0,2022-02-05 15:00,19.2700004577637,-103.580001831055
5867,11447208,11.1,11.1,2.5,73.9,1015.0,0.1,97.3,0.0,100.0,1135.0,Fog,1.0,0.0,2022-02-05 15:00,22.8799991607666,92.7300033569336
5868,11447541,-15.6,-15.6,0.4,165.1,1037.8,0.0,86.7,10.0,48.2,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,51.7299995422363,102.529998779297
5869,11447874,30,27.79,16.9,10.0,1010.8,0.0,19.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,17.4699993133545,47.1199989318848
5870,11448207,-2.2,-4.28,6.8,200.0,1027.1,0.0,88.0,14.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,47.6500015258789,-118.150001525879
5871,11448540,30.5,31.5,9.4,85.8,1011.1,0.0,44.9,10.0,43.7,1003.0,Partly cloudy,8.0,1.0,2022-02-05 15:00,-11.3000001907349,-41.8600006103516
