lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability,Power (W)
52.0,-2.5,285.53,1021,77,281.62,0.0,88,1.79,279,0,0.6557719,0
52.0,-2.0,285.59,1022,72,280.69,0.0,40,2.68,292,5.81,0.6319219,110848.69
52.0,-1.5,284.96,1021,71,279.88,0.0,62,8.44,296,14.71,0.4601963,1799037.31
52.0,-1.0,285.86,1021,74,281.35,0.0,100,0.89,293,3.13,0.6550478,17331.46
52.0,-0.5,286.34,1019,61,278.99,0.0,20,9.77,280,18.33,0.44224447,3480883.98
52.0,0.0,285.53,1019,70,280.22,0.0,96,9.11,295,16.71,0.76812345,2637129.78
52.0,0.5,285.91,1018,59,278.11,0.0,90,10.6,294,19.01,0.6125854,3882831.14
52.0,1.0,285.64,1016,62,278.57,0.0,75,9.83,325,14.31,0.6013981,1656231.55
52.0,1.5,285.91,1015,60,278.35,0.0,81,9.83,264,15.65,0.6980226,2166432.58
52.0,2.0,285.89,1015,74,281.38,0.0,100,14.69,291,21.21,0.46667135,5392922.25
52.5,-8.0,283.53,1028,90,281.96,0.04,100,7.57,285,14.11,0.5103508,1587753.92
52.5,-7.5,283.94,1025,91,282.53,0.05,100,0.89,195,3.13,0.7060337,17331.46
52.5,-7.0,282.54,1026,85,280.15,0.05,100,7.69,291,15.11,0.6179956,1949824.60
52.5,-6.5,284.03,1026,82,281.08,0.05,100,7.98,289,14.91,0.71126646,1873419.70
52.5,-6.0,284.87,1026,84,282.26,0.06,100,9.05,285,12.91,0.8538848,1216132.46
52.5,-5.5,283.98,1025,88,282.07,0.07,100,9.92,279,14.31,0.5551592,1656231.55
52.5,-5.0,283.8,1025,89,282.06,0.06,100,9.87,277,14.61,0.49428955,1762596.08
52.5,-4.5,284.76,1025,92,283.51,0.06,100,9.79,276,14.71,0.37743494,1799037.31
52.5,-4.0,284.76,1024,98,284.46,0.07,100,8.26,278,14.81,0.60555154,1835977.39
52.5,-3.5,284.24,1022,90,282.66,0.0,88,10.29,293,19.01,0.67193025,3882831.14
52.5,-3.0,283.85,1022,83,281.08,0.0,62,6.26,286,12.96,0.5418281,1230317.38
52.5,-2.5,284.18,1020,83,281.41,0.0,35,4.92,281,10.73,0.5965166,698234.52
52.5,-2.0,285.21,1020,65,278.84,0.0,75,6.17,300,18.33,0.6217217,3480883.98
52.5,-1.5,285.52,1020,63,278.68,0.0,75,1.34,284,5.81,0.36446717,110848.69
52.5,-1.0,284.94,1019,61,277.67,0.0,100,9.7,296,17.61,0.69785416,3086599.07
52.5,-0.5,285.25,1018,67,279.32,0.0,40,9.77,290,18.33,0.38486296,3480883.98
52.5,0.0,285.25,1016,72,280.36,0.0,94,6.26,298,13.86,0.6055363,1504845.26
52.5,0.5,284.93,1016,78,281.22,0.0,20,7.15,293,12.96,1.0,1230317.38
52.5,1.0,284.86,1015,73,280.19,0.0,84,3.58,259,12.07,0.56534195,993857.14
52.5,1.5,285.02,1015,70,279.73,0.0,83,11.55,292,20.11,0.052288026,4596617.49
52.5,2.0,285.37,1014,72,280.48,0.0,96,15.03,296,21.81,0.670562,5863664.99
53.0,-8.0,283.16,1027,86,280.93,0.06,100,7.48,280,13.21,0.5689422,1302898.57
53.0,-7.5,283.3,1026,92,282.06,0.05,100,5.78,280,13.61,0.32590416,1424874.22
53.0,-7.0,283.69,1025,93,282.61,0.04,100,6.77,285,14.41,0.6536748,1691196.60
53.0,-6.5,281.43,1025,92,280.21,0.03,100,6.92,291,16.21,0.6343846,2407416.31
53.0,-6.0,284.11,1024,81,280.98,0.04,100,5.3,288,11.81,0.6081366,931004.64
53.0,-5.5,284.31,1024,84,281.71,0.05,100,8.26,285,12.71,0.62637025,1160483.06
53.0,-5.0,283.45,1024,88,281.55,0.06,92,9.53,283,14.51,0.518983,1726650.31
53.0,-4.5,283.32,1024,49,273.1,0.11,90,5.66,250,18.33,0.62292427,3480883.98
53.0,-4.0,280.43,1023,1,231.15,0.0,100,8.92,283,15.71,0.29950804,2191445.67
53.0,-3.5,282.11,1022,85,279.73,0.0,28,9.69,286,17.71,0.62847507,3139480.84
53.0,-3.0,284.65,1021,75,280.38,0.0,40,8.23,300,16.46,0.37102556,2520528.69
53.0,-2.5,284.8,1019,78,281.1,0.0,35,4.02,322,10.73,0.42677745,698234.52
53.0,-2.0,283.73,1019,86,281.49,0.0,97,2.24,348,5.36,0.49548003,87035.52
53.0,-1.5,284.36,1019,74,279.9,0.0,100,9.02,292,17.41,0.57223576,2982623.71
53.0,-1.0,284.79,1018,71,279.72,0.0,100,8.05,300,15.65,0.5499686,2166432.58
53.0,-0.5,284.35,1017,67,278.46,0.0,75,9.77,290,15.43,0.4586253,2076346.98
53.0,0.0,284.77,1016,62,277.74,0.0,40,10.29,290,18.33,0.49185595,3480883.98
53.0,0.5,284.49,1016,74,280.03,0.0,100,13.79,285,20.31,0.5247411,4735130.18
53.0,1.0,284.53,1015,74,280.07,0.0,84,14.24,286,21.71,0.65580165,5783378.60
53.0,1.5,284.62,1019,71,279.55,0.0,82,9.39,300,16.54,0.6224159,2557458.93
53.0,2.0,284.69,1013,78,280.99,0.0,99,15.21,293,23.11,0.58196175,6975928.00
53.5,-8.0,283.94,1025,83,281.17,0.05,100,7.52,284,14.41,0.60319597,1691196.60
53.5,-7.5,283.24,1025,85,280.84,0.04,100,7.79,284,15.01,0.49377862,1911367.64
53.5,-7.0,283.5,1024,84,280.92,0.03,100,7.07,286,14.31,0.40987307,1656231.55
53.5,-6.5,283.37,1023,93,282.29,0.04,75,8.23,270,18.33,0.65360016,3480883.98
53.5,-6.0,283.89,1023,92,282.64,0.07,75,8.23,270,18.33,0.6327274,3480883.98
53.5,-5.5,283.86,1023,82,280.92,0.1,60,11.28,288,16.81,0.46386448,2684758.92
53.5,-5.0,283.5,1022,83,280.74,0.11,46,11.29,284,17.11,0.5873557,2831080.26
53.5,-4.5,283.56,1022,83,280.8,0.0,21,11.28,281,17.91,0.44012102,3247049.51
53.5,-4.0,284.14,1022,86,281.89,0.0,21,12.05,279,17.61,0.6029785,3086599.07
53.5,-3.5,284.08,1021,86,281.83,0.0,18,13.16,279,19.11,0.57547945,3944429.65
