,lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability
0,55.6978,-3.8092,281.42,1015.0,82.0,278.53,0.0,100.0,10.2,287.0,20.09,1
0,53.9624,-1.9142,282.6,1015.0,78.0,278.96,0.0,20.0,5.81,282.0,10.28,1
0,52.3304,1.1266,285.0,1016.0,74.0,280.52,0.0,87.0,11.59,291.0,20.11,1
0,54.7854,-1.3828,282.73,1008.0,69.0,277.33,0.0,100.0,3.58,272.0,8.05,1
0,51.5694,-3.4648,283.16,1024.0,85.0,280.76,0.04,100.0,8.64,295.0,15.5,1
0,56.6956,-3.1448,280.3,1010.0,65.0,274.17,0.0,78.0,3.58,277.0,10.28,1
0,56.0905,-3.3177,281.81,1012.0,64.0,275.39,0.0,20.0,9.77,270.0,16.98,1
0,57.392,-2.261,279.46,1005.0,79.0,276.09,0.0,69.0,0.89,289.0,3.13,1
0,57.3556,-2.2434,279.43,1009.0,77.0,275.7,0.0,40.0,10.8,310.0,18.01,1
0,53.7897,-0.8264,284.13,1015.0,77.0,280.26,0.0,95.0,4.92,148.0,9.39,1
0,53.4172,-0.6527,284.31,1016.0,66.0,278.2,0.0,75.0,13.38,290.0,19.03,1
0,57.1613,-2.8114,277.88,1005.0,72.0,273.27,0.0,72.0,6.71,315.0,8.05,1
0,58.5272,-3.2937,279.08,1007.0,75.0,274.99,0.0,40.0,13.38,290.0,16.3,1
0,53.7428,-0.29,284.37,1014.0,54.0,275.41,0.0,20.0,2.24,310.0,8.05,1
0,53.6737,-0.1267,284.38,1015.0,51.0,274.62,0.0,20.0,9.26,270.0,14.4,1
0,55.7939,-3.79,281.27,1015.0,82.0,278.39,0.0,100.0,0.89,195.0,3.13,1
0,54.851,-6.0779,281.69,1020.0,89.0,279.98,0.0,76.0,9.31,290.0,17.16,1
0,58.0027,-4.3487,279.08,1011.0,78.0,275.54,0.0,75.0,11.84,295.0,20.68,1
0,56.0444,-4.1019,280.52,1015.0,66.0,274.59,0.0,99.0,9.33,291.0,19.94,1
0,56.7081,-2.7202,281.76,1010.0,59.0,274.21,0.0,49.0,10.33,296.0,21.91,1
0,58.2872,-3.4279,278.18,1008.0,74.0,273.94,0.0,70.0,15.63,302.0,24.14,1
0,51.5067,-3.1042,285.05,1011.0,80.0,281.71,0.04,100.0,1.34,345.0,4.92,1
0,51.872,-0.1226,286.23,1018.0,68.0,280.47,0.0,92.0,0.45,315.0,1.79,1
0,50.3947,-5.1169,283.57,1028.0,93.0,282.49,0.18,90.0,9.26,290.0,16.3,1
0,55.7718,-4.9158,281.96,1017.0,80.0,278.7,0.0,100.0,14.16,294.0,20.45,1
0,56.7059,-2.4551,282.22,1010.0,59.0,274.64,0.0,63.0,8.69,292.0,16.33,1
0,52.5195,-0.0021,285.2,1016.0,72.0,280.31,0.0,94.0,6.26,298.0,13.86,1
0,57.6607,-2.6518,279.41,1008.0,75.0,275.31,0.0,77.0,10.28,269.0,16.99,1
0,54.8616,-2.8757,282.75,1016.0,75.0,278.54,0.0,99.0,9.67,287.0,18.85,1
0,56.5642,-2.9508,281.24,1011.0,69.0,275.9,0.0,20.0,7.72,280.0,16.3,1
0,56.2461,-3.053,281.38,1009.0,63.0,274.76,0.0,40.0,7.15,90.0,7.15,1
0,54.6879,-6.0196,282.79,1020.0,83.0,280.05,0.0,40.0,4.02,248.0,9.39,1
0,56.9335,-2.2906,279.74,1010.0,71.0,274.86,0.0,50.0,10.89,302.0,20.33,1
0,56.7302,-3.2192,280.28,1010.0,65.0,274.15,0.0,81.0,13.71,301.0,24.46,1
0,56.5962,-3.895,280.31,1013.0,72.0,275.61,0.0,99.0,8.92,294.0,21.63,1
0,55.0833,-4.7511,282.25,1018.0,88.0,280.37,0.0,100.0,9.94,299.0,18.77,1
0,53.533,-2.9924,283.78,1020.0,88.0,281.88,0.0,40.0,9.77,270.0,15.43,1
0,56.9253,-2.4008,279.36,1010.0,62.0,272.69,0.0,46.0,10.48,302.0,20.73,1
0,54.9616,-4.7314,282.33,1018.0,87.0,280.28,0.0,94.0,11.19,300.0,19.84,1
0,57.3948,-6.4149,279.78,1015.0,82.0,276.93,0.0,100.0,8.05,359.0,12.52,1
0,56.2962,-3.9239,280.96,1013.0,66.0,275.01,0.0,100.0,10.77,292.0,21.73,1
0,59.0632,-3.2683,279.14,1006.0,75.0,275.05,0.0,60.0,18.82,303.0,23.11,1
0,56.2736,-2.7127,282.3,1011.0,57.0,274.24,0.0,40.0,10.8,290.0,17.49,1
0,54.8795,-6.2332,283.14,1021.0,83.0,280.39,0.0,80.0,8.39,290.0,16.34,1
0,56.8936,-2.2724,280.03,1010.0,62.0,273.26,0.0,57.0,10.16,300.0,18.25,1
0,52.4196,-3.5943,282.66,1023.0,93.0,281.59,0.07,94.0,10.19,293.0,18.71,1
0,53.5724,-2.539,283.18,1019.0,82.0,280.25,0.0,64.0,5.81,283.0,11.62,1
0,52.5713,0.1215,284.97,1017.0,73.0,280.29,0.0,94.0,1.34,108.0,4.47,1
0,57.6541,-4.0965,280.1,1012.0,71.0,275.21,0.0,40.0,11.32,270.0,16.98,1
0,57.1613,-2.8114,277.88,1005.0,72.0,273.27,0.0,72.0,6.71,315.0,8.05,1
0,54.8958,-5.0954,283.04,1019.0,84.0,280.47,0.0,78.0,13.75,300.0,19.81,1
0,57.3591,-2.6813,278.62,1009.0,82.0,275.8,0.0,83.0,12.81,299.0,22.68,1
0,56.8273,-2.5671,280.85,1010.0,60.0,273.58,0.0,46.0,9.27,298.0,19.95,1
0,54.8991,-6.8692,283.14,1021.0,84.0,280.56,0.0,84.0,8.21,290.0,15.84,1
0,56.8191,-2.733,280.32,1010.0,60.0,273.09,0.0,40.0,10.22,298.0,22.65,1
0,50.472,-4.9003,282.7,1028.0,93.0,281.63,0.09,90.0,9.26,290.0,16.3,1
0,58.6336,-3.1211,279.16,1007.0,75.0,275.07,0.0,40.0,13.38,290.0,16.3,1
0,55.6883,-3.0718,278.98,1012.0,66.0,273.13,0.0,99.0,5.36,256.0,7.15,1
0,56.2091,-3.7728,279.69,1013.0,66.0,273.8,0.0,100.0,4.02,257.0,8.05,1
0,55.7564,-4.4427,281.47,1016.0,76.0,277.49,0.0,75.0,1.34,288.0,5.36,1
0,56.4645,-3.6378,280.75,1010.0,77.0,276.98,0.0,99.0,6.26,315.0,12.96,1
0,55.372,-2.4082,281.11,1014.0,71.0,276.18,0.0,100.0,9.6,289.0,21.83,1
0,55.3378,-3.5781,280.06,1015.0,77.0,276.31,0.0,95.0,11.71,299.0,22.82,1
0,56.0867,-4.2879,281.82,1015.0,74.0,277.45,0.0,98.0,9.38,293.0,20.11,1
0,55.7763,-5.5022,282.27,1018.0,84.0,279.71,0.0,100.0,9.47,293.0,16.67,1
0,55.7258,-5.5958,282.4,1019.0,83.0,279.67,0.0,100.0,10.62,293.0,17.15,1
0,58.9404,-3.1746,278.09,1006.0,70.0,273.09,0.0,75.0,14.4,300.0,16.3,1
0,55.6451,-2.5167,281.78,1014.0,67.0,276.01,0.0,96.0,2.68,278.0,5.36,1
0,56.6617,-2.5543,282.09,1010.0,59.0,274.52,0.0,62.0,9.85,294.0,18.71,1
0,51.2465,-2.967,283.74,1025.0,90.0,282.17,0.06,98.0,1.34,226.0,3.13,1
0,55.3836,-4.7368,281.3,1017.0,71.0,276.36,0.0,20.0,13.38,290.0,16.3,1
