,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,uvindex,isday,updatedon,a,Unnamed: 0,stationid,b,c,lat,lon
96,10,6.33,34.9,240.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2687.0,2687,8768889,2687.0,2687.0,49.719448,-6.902957
97,10,6.35,29.9,250.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,850.0,850,372627,850.0,850.0,49.719448,-6.892957
98,10,6.37,20.2,230.0,1016.9,0.0,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,823.0,823,363636,823.0,823.0,49.719448,-6.882956999999999
99,10,6.37,20.2,230.0,1016.9,0.0,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,1884.0,1884,2422575,1884.0,1884.0,49.719448,-6.8729569999999995
100,10,6.37,29.9,250.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,1894.0,1894,2758572,1894.0,1894.0,49.719448,-6.862957
101,10,6.37,31.0,240.0,1020.0,0.0,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2586.0,2586,8584074,2586.0,2586.0,49.719448,-6.852957
102,10,6.39,34.9,240.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2348.0,2348,4358304,2348.0,2348.0,49.719448,-6.842957
103,10,6.39,34.9,240.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2345.0,2345,4344984,2345.0,2345.0,49.719448,-6.8329569999999995
104,10,6.39,47.9,250.0,1015.2,0.1,82.0,10.0,100.0,1009.0,2.0,1.0,2022-02-05 15:00,931.0,931,399600,931.0,931.0,49.719448,-6.822957
105,10,6.42,20.2,230.0,1016.9,0.0,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2631.0,2631,8745579,2631.0,2631.0,49.719448,-6.812957
106,10,6.42,20.2,230.0,1016.9,0.0,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2342.0,2342,4328667,2342.0,2342.0,49.719448,-6.802956999999999
107,10,6.44,31.0,220.0,1016.9,0.0,71.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2395.0,2395,4835826,2395.0,2395.0,49.719448,-6.7929569999999995
108,10,6.44,31.0,240.0,1020.0,0.0,82.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,834.0,834,367299,834.0,834.0,49.719448,-6.782957
109,10,6.44,34.9,240.0,1017.9,0.0,66.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,940.0,940,402597,940.0,940.0,49.719448,-6.772957
110,10,6.46,20.2,230.0,1017.9,0.0,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2581.0,2581,8582076,2581.0,2581.0,49.719448,-6.762957
111,10,6.46,28.1,250.0,1019.0,0.1,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2238.0,2238,3470526,2238.0,2238.0,49.719448,-6.752956999999999
112,10,6.46,28.1,250.0,1019.0,0.1,76.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,952.0,952,406593,952.0,952.0,49.719448,-6.742957
113,10,6.46,29.9,250.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2416.0,2416,4974687,2416.0,2416.0,49.719448,-6.732957
114,10,6.49,20.2,230.0,1016.9,0.0,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2318.0,2318,4197465,2318.0,2318.0,49.719448,-6.722956999999999
115,10,6.51,20.2,230.0,1017.9,0.0,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2405.0,2405,4891437,2405.0,2405.0,49.719448,-6.712956999999999
116,10,6.51,34.9,240.0,1017.9,0.0,66.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,1920.0,1920,2920743,1920.0,1920.0,49.719448,-6.702957
117,10,6.53,37.1,230.0,1015.9,0.0,62.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2389.0,2389,4763565,2389.0,2389.0,49.719448,-6.692957
118,10,6.63,34.9,240.0,1017.9,0.0,66.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,963.0,963,410256,963.0,963.0,49.719448,-6.682957
119,10,6.66,20.2,230.0,1017.9,0.0,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2231.0,2231,3449880,2231.0,2231.0,49.719448,-6.672957
120,10,6.68,20.2,230.0,1016.9,0.0,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,876.0,876,381285,876.0,876.0,49.719448,-6.662957
121,10,6.68,20.2,230.0,1016.9,0.0,62.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2311.0,2311,4167495,2311.0,2311.0,49.719448,-6.652957
122,10,6.68,29.9,250.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,903.0,903,390276,903.0,903.0,49.719448,-6.642957
123,10,6.71,20.2,230.0,1017.9,0.0,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,2356.0,2356,4458204,2356.0,2356.0,49.719448,-6.632956999999999
124,10,6.71,34.9,240.0,1016.9,0.0,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,1886.0,1886,2423241,1886.0,1886.0,49.719448,-6.6229569999999995
125,10,6.84,20.2,230.0,1017.9,0.0,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,939.0,939,402264,939.0,939.0,49.719448,-6.612957
126,10,6.84,20.2,230.0,1017.9,0.0,71.0,10.0,50.0,1003.0,2.0,1.0,2022-02-05 15:00,1030.0,1030,432567,1030.0,1030.0,49.719448,-6.602957
127,10.1,5.9,43.6,251.9,1018.6,0.2,80.5,10.0,64.0,1240.0,3.0,1.0,2022-02-05 15:00,870.0,870,379287,870.0,870.0,49.719448,-6.592957
128,10.4,6.6,38.9,257.2,1021.1,0.2,78.2,10.0,57.2,1240.0,3.0,1.0,2022-02-05 15:00,979.0,979,415584,979.0,979.0,49.719448,-6.5829569999999995
129,10.6,6.5,46.1,257.0,1022.7,0.1,80.5,10.0,60.6,1063.0,3.0,1.0,2022-02-05 15:00,992.0,992,419913,992.0,992.0,49.719448,-6.572957
130,11,6.96,28.1,250.0,1020.0,0.0,66.0,10.0,75.0,1003.0,4.0,1.0,2022-02-05 15:00,1020.0,1020,429237,1020.0,1020.0,49.719448,-6.562957
131,11,7.0,33.1,250.0,1019.0,0.1,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2771.0,2771,9300690,2771.0,2771.0,49.719448,-6.552956999999999
